locus_tag	ftype	length_bp	gene	EC_number	COG	product
54138_Lkimchicus_00038	CDS	1413		3.4.13.-	COG0624	Putative dipeptidase SACOL1801
54138_Lkimchicus_00039	CDS	483				Putative universal stress protein SA1532
54138_Lkimchicus_00040	CDS	660		2.7.1.113	COG1428	Deoxyguanosine kinase
54138_Lkimchicus_00041	CDS	771		3.1.3.-		Putative phosphatase M6_Spy0533
54138_Lkimchicus_00042	CDS	1242	mdtG_1			Multidrug resistance protein MdtG
54138_Lkimchicus_00043	CDS	678	yvdM	5.4.2.6	COG0637	Beta-phosphoglucomutase
54138_Lkimchicus_00044	CDS	2715	trePP	2.4.1.216	COG1554	Trehalose 6-phosphate phosphorylase
54138_Lkimchicus_00045	CDS	654	treP_1	2.4.1.64		Alpha,alpha-trehalose phosphorylase
54138_Lkimchicus_00046	CDS	1479	treP_2	2.4.1.64		Alpha,alpha-trehalose phosphorylase
54138_Lkimchicus_00047	CDS	372	mscL		COG1970	Large-conductance mechanosensitive channel
54138_Lkimchicus_00048	CDS	597				hypothetical protein
54138_Lkimchicus_00049	CDS	234				hypothetical protein
54138_Lkimchicus_00050	CDS	699				hypothetical protein
54138_Lkimchicus_00051	CDS	468				hypothetical protein
54138_Lkimchicus_00052	CDS	120				hypothetical protein
54138_Lkimchicus_00053	CDS	369				hypothetical protein
54138_Lkimchicus_00054	CDS	411				hypothetical protein
54138_Lkimchicus_00055	CDS	405				hypothetical protein
54138_Lkimchicus_00056	CDS	282				hypothetical protein
54138_Lkimchicus_00057	tRNA	86				tRNA-Leu(cag)
54138_Lkimchicus_00058	CDS	1137	xerC_1			Tyrosine recombinase XerC
54138_Lkimchicus_00059	CDS	264				hypothetical protein
54138_Lkimchicus_00060	CDS	1476				hypothetical protein
54138_Lkimchicus_00061	CDS	414				hypothetical protein
54138_Lkimchicus_00062	CDS	360				hypothetical protein
54138_Lkimchicus_00063	CDS	246				hypothetical protein
54138_Lkimchicus_00064	CDS	174				hypothetical protein
54138_Lkimchicus_00065	CDS	255				hypothetical protein
54138_Lkimchicus_00066	CDS	294				hypothetical protein
54138_Lkimchicus_00067	CDS	171				hypothetical protein
54138_Lkimchicus_00068	CDS	174				hypothetical protein
54138_Lkimchicus_00069	CDS	987				hypothetical protein
54138_Lkimchicus_00070	CDS	378				hypothetical protein
54138_Lkimchicus_00071	CDS	237				hypothetical protein
54138_Lkimchicus_00072	CDS	321				hypothetical protein
54138_Lkimchicus_00073	CDS	522				hypothetical protein
54138_Lkimchicus_00074	CDS	321				hypothetical protein
54138_Lkimchicus_00075	CDS	198				hypothetical protein
54138_Lkimchicus_00076	CDS	108				hypothetical protein
54138_Lkimchicus_00077	CDS	291				hypothetical protein
54138_Lkimchicus_00078	CDS	180				hypothetical protein
54138_Lkimchicus_00079	CDS	303				hypothetical protein
54138_Lkimchicus_00080	CDS	783				hypothetical protein
54138_Lkimchicus_00081	CDS	690				hypothetical protein
54138_Lkimchicus_00082	CDS	816				hypothetical protein
54138_Lkimchicus_00083	CDS	897				hypothetical protein
54138_Lkimchicus_00084	CDS	240				hypothetical protein
54138_Lkimchicus_00085	CDS	486				hypothetical protein
54138_Lkimchicus_00086	CDS	429				hypothetical protein
54138_Lkimchicus_00087	CDS	432				hypothetical protein
54138_Lkimchicus_00088	CDS	1167				hypothetical protein
54138_Lkimchicus_00089	CDS	141				hypothetical protein
54138_Lkimchicus_00090	CDS	219				hypothetical protein
54138_Lkimchicus_00091	CDS	462				hypothetical protein
54138_Lkimchicus_00092	CDS	1341				hypothetical protein
54138_Lkimchicus_00093	CDS	1524				hypothetical protein
54138_Lkimchicus_00094	CDS	882				hypothetical protein
54138_Lkimchicus_00095	CDS	681				hypothetical protein
54138_Lkimchicus_00096	CDS	261				hypothetical protein
54138_Lkimchicus_00097	CDS	177				hypothetical protein
54138_Lkimchicus_00098	CDS	339				hypothetical protein
54138_Lkimchicus_00099	CDS	1053				hypothetical protein
54138_Lkimchicus_00100	CDS	498				hypothetical protein
54138_Lkimchicus_00101	CDS	195				hypothetical protein
54138_Lkimchicus_00102	CDS	348				hypothetical protein
54138_Lkimchicus_00103	CDS	567				hypothetical protein
54138_Lkimchicus_00104	CDS	405				hypothetical protein
54138_Lkimchicus_00105	CDS	486				hypothetical protein
54138_Lkimchicus_00106	CDS	1152				hypothetical protein
54138_Lkimchicus_00107	CDS	483				hypothetical protein
54138_Lkimchicus_00108	CDS	591				hypothetical protein
54138_Lkimchicus_00109	CDS	5691				hypothetical protein
54138_Lkimchicus_00110	CDS	1221				hypothetical protein
54138_Lkimchicus_00111	CDS	348				hypothetical protein
54138_Lkimchicus_00112	CDS	945				hypothetical protein
54138_Lkimchicus_00113	CDS	381				hypothetical protein
54138_Lkimchicus_00114	CDS	366				hypothetical protein
54138_Lkimchicus_00115	CDS	1233				hypothetical protein
54138_Lkimchicus_00116	CDS	720				hypothetical protein
54138_Lkimchicus_00117	CDS	1161				hypothetical protein
54138_Lkimchicus_00118	CDS	432				hypothetical protein
54138_Lkimchicus_00119	CDS	453				hypothetical protein
54138_Lkimchicus_00120	CDS	144				hypothetical protein
54138_Lkimchicus_00121	CDS	318				hypothetical protein
54138_Lkimchicus_00122	CDS	276				hypothetical protein
54138_Lkimchicus_00123	CDS	747				hypothetical protein
54138_Lkimchicus_00124	CDS	2331				hypothetical protein
54138_Lkimchicus_00125	CDS	1104	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
54138_Lkimchicus_00126	CDS	180				hypothetical protein
54138_Lkimchicus_00127	CDS	366				hypothetical protein
54138_Lkimchicus_00128	CDS	291				hypothetical protein
54138_Lkimchicus_00129	CDS	360				hypothetical protein
54138_Lkimchicus_00130	CDS	309				hypothetical protein
54138_Lkimchicus_00131	CDS	165				hypothetical protein
54138_Lkimchicus_00132	CDS	519				hypothetical protein
54138_Lkimchicus_00133	CDS	489	crtK-2		COG3476	Tryptophan-rich protein TspO
54138_Lkimchicus_00134	CDS	477	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
54138_Lkimchicus_00135	CDS	441				hypothetical protein
54138_Lkimchicus_00136	CDS	399				hypothetical protein
54138_Lkimchicus_00137	CDS	225				hypothetical protein
54138_Lkimchicus_00138	CDS	285				hypothetical protein
54138_Lkimchicus_00139	CDS	237				hypothetical protein
54138_Lkimchicus_00140	CDS	1902	asnB	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
54138_Lkimchicus_00141	CDS	1533	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
54138_Lkimchicus_00142	CDS	1260		6.3.1.12		D-aspartate ligase
54138_Lkimchicus_00143	CDS	726		5.1.1.13		Aspartate racemase
54138_Lkimchicus_00144	CDS	345				hypothetical protein
54138_Lkimchicus_00145	CDS	213				hypothetical protein
54138_Lkimchicus_00146	tRNA	71				tRNA-Gly(ccc)
54138_Lkimchicus_00147	CDS	231				hypothetical protein
54138_Lkimchicus_00148	CDS	216				hypothetical protein
54138_Lkimchicus_00149	CDS	780	yfcA		COG0730	Probable membrane transporter protein YfcA
54138_Lkimchicus_00150	CDS	171	rpmF_1		COG0333	50S ribosomal protein L32
54138_Lkimchicus_00151	CDS	1356				hypothetical protein
54138_Lkimchicus_00152	CDS	582				hypothetical protein
54138_Lkimchicus_00153	CDS	714				hypothetical protein
54138_Lkimchicus_00154	CDS	456				hypothetical protein
54138_Lkimchicus_00155	CDS	2100				hypothetical protein
54138_Lkimchicus_00156	CDS	525				IS3 family transposase ISWci1
54138_Lkimchicus_00157	CDS	717				IS3 family transposase ISWci1
54138_Lkimchicus_00158	CDS	165				hypothetical protein
54138_Lkimchicus_00159	CDS	1992	feoB		COG0370	Fe(2+) transporter FeoB
54138_Lkimchicus_00160	CDS	228				hypothetical protein
54138_Lkimchicus_00161	CDS	795	sufC		COG0396	Vegetative protein 296
54138_Lkimchicus_00162	CDS	1302				UPF0051 protein SA0778
54138_Lkimchicus_00163	CDS	1248	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
54138_Lkimchicus_00164	CDS	462	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
54138_Lkimchicus_00165	CDS	1407				UPF0051 protein SA0778
54138_Lkimchicus_00166	CDS	2172	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
54138_Lkimchicus_00167	CDS	585				hypothetical protein
54138_Lkimchicus_00168	CDS	798			COG1120	Uncharacterized ABC transporter ATP-binding protein HI_1470
54138_Lkimchicus_00169	CDS	1002			COG0609	Probable ABC transporter permease protein HI_1471
54138_Lkimchicus_00170	CDS	483	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
54138_Lkimchicus_00171	CDS	402	moaE1	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit 1
54138_Lkimchicus_00172	CDS	252				hypothetical protein
54138_Lkimchicus_00173	CDS	999	moaA1	4.1.99.22	COG2896	GTP 3',8-cyclase 1
54138_Lkimchicus_00174	CDS	1191	narT		COG2223	Probable nitrate transporter NarT
54138_Lkimchicus_00175	CDS	300				hypothetical protein
54138_Lkimchicus_00176	CDS	333				hypothetical protein
54138_Lkimchicus_00177	CDS	897				hypothetical protein
54138_Lkimchicus_00178	CDS	894				hypothetical protein
54138_Lkimchicus_00179	CDS	1002				hypothetical protein
54138_Lkimchicus_00180	CDS	294				hypothetical protein
54138_Lkimchicus_00181	CDS	654	nreC_1		COG2197	Oxygen regulatory protein NreC
54138_Lkimchicus_00182	CDS	1029	nreB	2.7.13.3		Oxygen sensor histidine kinase NreB
54138_Lkimchicus_00183	CDS	435				hypothetical protein
54138_Lkimchicus_00184	CDS	258				hypothetical protein
54138_Lkimchicus_00185	CDS	588	mobA	2.7.7.77		Molybdenum cofactor guanylyltransferase
54138_Lkimchicus_00186	CDS	486	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
54138_Lkimchicus_00187	CDS	492				hypothetical protein
54138_Lkimchicus_00188	CDS	1221	moeA	2.10.1.1		Molybdopterin molybdenumtransferase
54138_Lkimchicus_00189	CDS	468	moaB			Molybdenum cofactor biosynthesis protein B
54138_Lkimchicus_00190	CDS	1020				hypothetical protein
54138_Lkimchicus_00191	CDS	3669	narG	1.7.99.4	COG5013	Respiratory nitrate reductase 1 alpha chain
54138_Lkimchicus_00192	CDS	1560	narH	1.7.99.4	COG1140	Respiratory nitrate reductase 1 beta chain
54138_Lkimchicus_00193	CDS	588				hypothetical protein
54138_Lkimchicus_00194	CDS	690	narX	1.7.99.4		Nitrate reductase-like protein NarX
54138_Lkimchicus_00195	CDS	966				hypothetical protein
54138_Lkimchicus_00196	CDS	411				hypothetical protein
54138_Lkimchicus_00197	CDS	366	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
54138_Lkimchicus_00198	CDS	822	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
54138_Lkimchicus_00199	CDS	1434	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
54138_Lkimchicus_00200	CDS	1692	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
54138_Lkimchicus_00201	CDS	468	argR_1			Arginine repressor
54138_Lkimchicus_00202	CDS	2133	pbpF		COG0744	Penicillin-binding protein 1F
54138_Lkimchicus_00203	CDS	342				UPF0342 protein SA1663
54138_Lkimchicus_00204	CDS	1227				hypothetical protein
54138_Lkimchicus_00205	CDS	2631				hypothetical protein
54138_Lkimchicus_00206	CDS	1014	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
54138_Lkimchicus_00207	CDS	894	prsA	5.2.1.8		Foldase protein PrsA
54138_Lkimchicus_00208	CDS	339				hypothetical protein
54138_Lkimchicus_00209	CDS	441	hit		COG0537	Protein hit
54138_Lkimchicus_00210	CDS	735	ecsA		COG1131	ABC-type transporter ATP-binding protein EcsA
54138_Lkimchicus_00211	CDS	1212				hypothetical protein
54138_Lkimchicus_00212	CDS	645	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
54138_Lkimchicus_00213	CDS	318	ytpP			Thioredoxin-like protein YtpP
54138_Lkimchicus_00214	CDS	636	pheT_1	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
54138_Lkimchicus_00215	CDS	2439				hypothetical protein
54138_Lkimchicus_00216	CDS	1332	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
54138_Lkimchicus_00217	CDS	702	ybhL		COG0670	Inner membrane protein YbhL
54138_Lkimchicus_00218	CDS	2655	polA	2.7.7.7		DNA polymerase I
54138_Lkimchicus_00219	CDS	1461	mutM	4.2.99.18		Formamidopyrimidine-DNA glycosylase
54138_Lkimchicus_00220	CDS	483	nrdR		COG1327	Transcriptional repressor NrdR
54138_Lkimchicus_00221	CDS	1410	dnaB		COG3611	Replication initiation and membrane attachment protein
54138_Lkimchicus_00222	CDS	927	dnaI		COG1484	Primosomal protein DnaI
54138_Lkimchicus_00223	CDS	1941	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
54138_Lkimchicus_00224	CDS	522	infC			Translation initiation factor IF-3
54138_Lkimchicus_00225	CDS	198	rpmI		COG0291	50S ribosomal protein L35
54138_Lkimchicus_00226	CDS	354	rplT		COG0292	50S ribosomal protein L20
54138_Lkimchicus_00227	CDS	927				hypothetical protein
54138_Lkimchicus_00228	CDS	549				hypothetical protein
54138_Lkimchicus_00229	CDS	1137	yqeH		COG1161	Uncharacterized protein YqeH
54138_Lkimchicus_00230	CDS	312			COG1534	RNA-binding protein HI_1333
54138_Lkimchicus_00231	CDS	633	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
54138_Lkimchicus_00232	CDS	624				hypothetical protein
54138_Lkimchicus_00233	CDS	357	rsfS		COG0799	Ribosomal silencing factor RsfS
54138_Lkimchicus_00234	CDS	741	ubiE	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
54138_Lkimchicus_00235	CDS	1140			COG1323	UPF0348 protein SP_1742
54138_Lkimchicus_00236	CDS	543				hypothetical protein
54138_Lkimchicus_00237	CDS	1020	adhA_1	1.1.1.1		Alcohol dehydrogenase 1
54138_Lkimchicus_00238	CDS	690	arlR_1		COG0745	Response regulator ArlR
54138_Lkimchicus_00239	CDS	1665	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
54138_Lkimchicus_00240	CDS	933	yidC			Membrane protein insertase YidC
54138_Lkimchicus_00241	CDS	273	acyP	3.6.1.7	COG1254	Acylphosphatase
54138_Lkimchicus_00242	CDS	783		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
54138_Lkimchicus_00243	CDS	519				hypothetical protein
54138_Lkimchicus_00244	CDS	387				hypothetical protein
54138_Lkimchicus_00245	CDS	1047	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
54138_Lkimchicus_00246	CDS	2412	pheT_2	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
54138_Lkimchicus_00247	CDS	1137	mltG	4.2.2.-		Endolytic murein transglycosylase
54138_Lkimchicus_00248	CDS	660	udk	2.7.1.48	COG0572	Uridine kinase
54138_Lkimchicus_00249	CDS	483	greA_1		COG0782	Transcription elongation factor GreA
54138_Lkimchicus_00250	CDS	306				hypothetical protein
54138_Lkimchicus_00251	CDS	2655				hypothetical protein
54138_Lkimchicus_00252	CDS	2070	penA		COG0768	Penicillin-binding protein 2B
54138_Lkimchicus_00253	CDS	150	rpmGA			50S ribosomal protein L33 1
54138_Lkimchicus_00254	CDS	540	yqgN		COG0212	Uncharacterized protein YqgN
54138_Lkimchicus_00255	CDS	675	gluP	3.4.21.105	COG0705	Rhomboid protease GluP
54138_Lkimchicus_00256	CDS	219	yqgQ		COG4483	Uncharacterized protein YqgQ
54138_Lkimchicus_00257	CDS	972	glcK	2.7.1.2	COG1940	Glucokinase
54138_Lkimchicus_00258	CDS	408	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
54138_Lkimchicus_00259	CDS	177				hypothetical protein
54138_Lkimchicus_00260	CDS	927	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
54138_Lkimchicus_00261	CDS	393	glnR		COG0789	HTH-type transcriptional regulator GlnR
54138_Lkimchicus_00262	CDS	1341	glnA	6.3.1.2	COG0174	Glutamine synthetase
54138_Lkimchicus_00263	CDS	888				hypothetical protein
54138_Lkimchicus_00264	CDS	939				hypothetical protein
54138_Lkimchicus_00265	CDS	495				hypothetical protein
54138_Lkimchicus_00266	tRNA	76				tRNA-Arg(tct)
54138_Lkimchicus_00267	CDS	156				hypothetical protein
54138_Lkimchicus_00268	CDS	321			COG0393	UPF0145 protein BC_1012
54138_Lkimchicus_00269	CDS	432				hypothetical protein
54138_Lkimchicus_00270	CDS	645				hypothetical protein
54138_Lkimchicus_00271	CDS	309	rplU		COG0261	50S ribosomal protein L21
54138_Lkimchicus_00272	CDS	330				hypothetical protein
54138_Lkimchicus_00273	CDS	297	rpmA		COG0211	50S ribosomal protein L27
54138_Lkimchicus_00274	CDS	1068	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
54138_Lkimchicus_00275	CDS	561	efp			Elongation factor P
54138_Lkimchicus_00276	CDS	441				Uncharacterized protein Spy1535
54138_Lkimchicus_00277	CDS	372				hypothetical protein
54138_Lkimchicus_00278	CDS	864	folD		COG0190	Bifunctional protein FolD
54138_Lkimchicus_00279	CDS	1359	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
54138_Lkimchicus_00280	CDS	255	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
54138_Lkimchicus_00281	CDS	900		2.5.1.10		Farnesyl diphosphate synthase
54138_Lkimchicus_00282	CDS	816	tlyA		COG1189	Hemolysin A
54138_Lkimchicus_00283	CDS	453	argR_2		COG1438	Arginine repressor
54138_Lkimchicus_00284	CDS	1701	recN		COG0497	DNA repair protein RecN
54138_Lkimchicus_00285	CDS	294				hypothetical protein
54138_Lkimchicus_00286	CDS	618	gmk_1	2.7.4.8	COG0194	Guanylate kinase
54138_Lkimchicus_00287	CDS	213	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
54138_Lkimchicus_00288	CDS	1218	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
54138_Lkimchicus_00289	CDS	2412	priA	3.6.4.-		primosomal protein N'
54138_Lkimchicus_00290	CDS	948	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
54138_Lkimchicus_00291	CDS	1347	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
54138_Lkimchicus_00292	CDS	747		3.1.3.16		Putative protein phosphatase 2C-type
54138_Lkimchicus_00293	CDS	1980	prkC	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
54138_Lkimchicus_00294	CDS	897	rsgA_1	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
54138_Lkimchicus_00295	CDS	651	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
54138_Lkimchicus_00296	CDS	648	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
54138_Lkimchicus_00297	CDS	186	rpmB			50S ribosomal protein L28
54138_Lkimchicus_00298	CDS	363				Uncharacterized protein Spy1614
54138_Lkimchicus_00299	CDS	1701				Uncharacterized protein SA1069
54138_Lkimchicus_00300	CDS	2031	recG	3.6.4.12		ATP-dependent DNA helicase RecG
54138_Lkimchicus_00301	CDS	1041	plsX	2.3.1.-	COG0416	Phosphate acyltransferase
54138_Lkimchicus_00302	CDS	246	acpA		COG0236	Acyl carrier protein
54138_Lkimchicus_00303	CDS	699	rnc	3.1.26.3	COG0571	Ribonuclease 3
54138_Lkimchicus_00304	CDS	3555	smc_1		COG1196	Chromosome partition protein Smc
54138_Lkimchicus_00305	CDS	1458	ftsY			Signal recognition particle receptor FtsY
54138_Lkimchicus_00306	CDS	342			COG2739	UPF0122 protein SPy_1201/M5005_Spy0916
54138_Lkimchicus_00307	CDS	1449	ffh		COG0541	Signal recognition particle protein
54138_Lkimchicus_00308	CDS	1161				hypothetical protein
54138_Lkimchicus_00309	CDS	180				hypothetical protein
54138_Lkimchicus_00310	CDS	618				hypothetical protein
54138_Lkimchicus_00311	CDS	519				hypothetical protein
54138_Lkimchicus_00312	CDS	198				hypothetical protein
54138_Lkimchicus_00313	CDS	276	rpsP		COG0228	30S ribosomal protein S16
54138_Lkimchicus_00314	CDS	258				hypothetical protein
54138_Lkimchicus_00315	CDS	522	rimM			Ribosome maturation factor RimM
54138_Lkimchicus_00316	CDS	765	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
54138_Lkimchicus_00317	CDS	363	rplS		COG0335	50S ribosomal protein L19
54138_Lkimchicus_00318	CDS	1425	pepDA_1	3.4.-.-	COG4690	Dipeptidase A
54138_Lkimchicus_00319	CDS	894				hypothetical protein
54138_Lkimchicus_00320	CDS	189		5.3.2.-		Probable tautomerase SA1195.1
54138_Lkimchicus_00321	CDS	1509	glpK_1	2.7.1.30	COG0554	Glycerol kinase
54138_Lkimchicus_00322	CDS	978	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
54138_Lkimchicus_00323	CDS	813	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
54138_Lkimchicus_00324	CDS	1365	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
54138_Lkimchicus_00325	CDS	1026	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
54138_Lkimchicus_00326	CDS	1083		2.7.4.2		Phosphomevalonate kinase
54138_Lkimchicus_00327	CDS	1026	thrB_1	2.7.1.39		Homoserine kinase
54138_Lkimchicus_00328	CDS	963	galK_1	2.7.1.6		Galactokinase
54138_Lkimchicus_00329	CDS	2796	dinG	3.6.4.12	COG0847	Probable ATP-dependent helicase DinG homolog
54138_Lkimchicus_00330	CDS	507				hypothetical protein
54138_Lkimchicus_00331	CDS	1185	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
54138_Lkimchicus_00332	CDS	1296	asnS	6.1.1.22		Asparagine--tRNA ligase
54138_Lkimchicus_00333	CDS	729	dnaD		COG3935	DNA replication protein DnaD
54138_Lkimchicus_00334	CDS	2334	ponA		COG0744	Penicillin-binding protein 1A
54138_Lkimchicus_00335	CDS	615	recU	3.1.22.-	COG3331	Holliday junction resolvase RecU
54138_Lkimchicus_00336	CDS	570	ypsA		COG4474	UPF0398 protein YpsA
54138_Lkimchicus_00337	CDS	351	gpsB_1		COG3599	Cell cycle protein GpsB
54138_Lkimchicus_00338	CDS	231				hypothetical protein
54138_Lkimchicus_00339	CDS	1128	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
54138_Lkimchicus_00340	CDS	1326	amt			Ammonia channel
54138_Lkimchicus_00341	CDS	483				hypothetical protein
54138_Lkimchicus_00342	CDS	663				hypothetical protein
54138_Lkimchicus_00343	CDS	603				hypothetical protein
54138_Lkimchicus_00344	CDS	1113	mnmC	1.5.-.-		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
54138_Lkimchicus_00345	CDS	396	rnhA_1		COG0328	14.7 kDa ribonuclease H-like protein
54138_Lkimchicus_00346	CDS	354				hypothetical protein
54138_Lkimchicus_00347	CDS	1662	fhs1	6.3.4.3		Formate--tetrahydrofolate ligase 1
54138_Lkimchicus_00348	CDS	447	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
54138_Lkimchicus_00349	CDS	915	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
54138_Lkimchicus_00350	CDS	537	pyrR			Bifunctional protein PyrR
54138_Lkimchicus_00351	CDS	1074	carA_1	6.3.5.5		Carbamoyl-phosphate synthase small chain
54138_Lkimchicus_00352	CDS	2523				hypothetical protein
54138_Lkimchicus_00353	CDS	1710	yloA		COG1293	Uncharacterized protein YloA
54138_Lkimchicus_00354	CDS	423	slyA_1			Transcriptional regulator SlyA
54138_Lkimchicus_00355	CDS	870	degV_1		COG1307	Protein DegV
54138_Lkimchicus_00356	CDS	366				hypothetical protein
54138_Lkimchicus_00357	CDS	573	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
54138_Lkimchicus_00358	CDS	441	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
