"","qseqid","sseqid","pident","length","mismatch","gapopen","qstart","qend","sstart","send","evalue","bitscore"
"97","ASV178","NODE_32_length_255_cov_157.070312",96.053,76,3,0,367,442,1,76,2.79e-29,124
"98","ASV178","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,367,442,1,76,2.79e-29,124
"99","ASV180","NODE_20_length_935_cov_380.679455",90.562,445,36,6,1,442,493,52,1.07e-167,584
"100","ASV180","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"101","ASV180","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"102","ASV182","NODE_20_length_935_cov_380.679455",77.703,444,75,16,1,422,493,52,4.21e-67,250
"103","ASV183","NODE_20_length_935_cov_380.679455",91.874,443,34,2,1,442,493,52,1.05e-177,617
"104","ASV183","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"105","ASV183","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"106","ASV184","NODE_20_length_935_cov_380.679455",90.562,445,36,6,1,442,493,52,1.07e-167,584
"107","ASV184","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"108","ASV184","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"109","ASV185","NODE_20_length_935_cov_380.679455",90.971,443,38,2,1,442,493,52,4.92e-171,595
"110","ASV185","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"111","ASV185","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"112","ASV186","NODE_20_length_935_cov_380.679455",91.855,442,36,0,1,442,493,52,1.05e-177,617
"113","ASV186","NODE_32_length_255_cov_157.070312",96.053,76,3,0,367,442,1,76,2.79e-29,124
"114","ASV186","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,367,442,1,76,2.79e-29,124
"115","ASV187","NODE_20_length_935_cov_380.679455",80.952,294,56,0,129,422,345,52,4.24e-62,233
"116","ASV188","NODE_20_length_935_cov_380.679455",94.118,442,26,0,1,442,493,52,0,673
"117","ASV188","NODE_32_length_255_cov_157.070312",97.368,76,2,0,367,442,1,76,6e-31,130
"118","ASV188","NODE_19_length_1017_cov_348.064045",97.368,76,2,0,367,442,1,76,6e-31,130
"119","ASV193","NODE_20_length_935_cov_380.679455",83.056,301,49,2,118,417,351,52,8.86e-74,272
"120","ASV195","NODE_20_length_935_cov_380.679455",79.932,294,59,0,129,422,345,52,4.27e-57,217
"121","ASV197","NODE_20_length_935_cov_380.679455",94.57,442,24,0,1,442,493,52,0,684
"122","ASV197","NODE_32_length_255_cov_157.070312",97.368,76,2,0,367,442,1,76,6e-31,130
"123","ASV197","NODE_19_length_1017_cov_348.064045",97.368,76,2,0,367,442,1,76,6e-31,130
"124","ASV198","NODE_20_length_935_cov_380.679455",92.534,442,33,0,1,442,493,52,0,634
"125","ASV198","NODE_32_length_255_cov_157.070312",96.053,76,3,0,367,442,1,76,2.79e-29,124
"126","ASV198","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,367,442,1,76,2.79e-29,124
"127","ASV199","NODE_20_length_935_cov_380.679455",92.76,442,32,0,1,442,493,52,0,640
"128","ASV199","NODE_32_length_255_cov_157.070312",96.053,76,3,0,367,442,1,76,2.79e-29,124
"129","ASV199","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,367,442,1,76,2.79e-29,124
"130","ASV200","NODE_20_length_935_cov_380.679455",88.009,442,53,0,1,442,493,52,2.36e-149,523
"131","ASV201","NODE_20_length_935_cov_380.679455",90.337,445,37,6,1,442,493,52,4.96e-166,579
"132","ASV201","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"133","ASV201","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"134","ASV206","NODE_20_length_935_cov_380.679455",78.882,322,64,4,103,422,371,52,1.53e-56,215
"135","ASV207","NODE_20_length_935_cov_380.679455",80.743,296,54,3,141,435,345,52,2.03e-60,228
"136","ASV207","NODE_32_length_255_cov_157.070312",89.333,75,8,0,361,435,2,76,2.15e-20,95.3
"137","ASV207","NODE_19_length_1017_cov_348.064045",89.333,75,8,0,361,435,2,76,2.15e-20,95.3
"138","ASV210","NODE_20_length_935_cov_380.679455",91.704,446,29,8,1,442,493,52,4.89e-176,612
"139","ASV210","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"140","ASV210","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"141","ASV214","NODE_20_length_935_cov_380.679455",91.256,446,31,8,1,442,493,52,1.06e-172,601
"142","ASV214","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"143","ASV214","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"144","ASV215","NODE_20_length_935_cov_380.679455",91.176,442,39,0,1,442,493,52,1.06e-172,601
"145","ASV215","NODE_32_length_255_cov_157.070312",96.053,76,3,0,367,442,1,76,2.79e-29,124
"146","ASV215","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,367,442,1,76,2.79e-29,124
"147","ASV217","NODE_20_length_935_cov_380.679455",92.152,446,27,8,1,442,493,52,2.26e-179,623
"148","ASV217","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"149","ASV217","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"150","ASV218","NODE_20_length_935_cov_380.679455",90.807,446,33,8,1,442,493,52,2.29e-169,590
"151","ASV219","NODE_20_length_935_cov_380.679455",78.571,322,65,4,103,422,371,52,7.14e-55,209
"152","ASV220","NODE_20_length_935_cov_380.679455",83.607,305,40,10,121,420,351,52,1.92e-75,278
"153","ASV226","NODE_20_length_935_cov_380.679455",79.73,296,57,3,131,425,345,52,2e-55,211
"154","ASV227","NODE_20_length_935_cov_380.679455",91.48,446,30,8,1,442,493,52,2.27e-174,606
"155","ASV227","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"156","ASV227","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"157","ASV228","NODE_20_length_935_cov_380.679455",86.712,444,55,4,1,442,493,52,2.39e-139,490
"158","ASV230","NODE_20_length_935_cov_380.679455",76.286,447,85,13,1,431,493,52,1.21e-57,219
"159","ASV233","NODE_20_length_935_cov_380.679455",91.648,443,36,1,1,443,493,52,4.9e-176,612
"160","ASV233","NODE_32_length_255_cov_157.070312",94.737,76,4,0,368,443,1,76,1.3e-27,119
"161","ASV233","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,368,443,1,76,1.3e-27,119
"162","ASV236","NODE_20_length_935_cov_380.679455",92.099,443,34,1,1,443,493,52,2.26e-179,623
"163","ASV236","NODE_32_length_255_cov_157.070312",96.053,76,3,0,368,443,1,76,2.8e-29,124
"164","ASV236","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,368,443,1,76,2.8e-29,124
"165","ASV239","NODE_20_length_935_cov_380.679455",90.724,442,41,0,1,442,493,52,2.29e-169,590
"166","ASV239","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"167","ASV239","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"168","ASV240","NODE_20_length_935_cov_380.679455",80,295,57,2,129,422,345,52,4.27e-57,217
"169","ASV240","NODE_32_length_255_cov_157.070312",85.333,75,11,0,348,422,2,76,2.1e-15,78.7
"170","ASV240","NODE_19_length_1017_cov_348.064045",85.333,75,11,0,348,422,2,76,2.1e-15,78.7
"171","ASV242","NODE_20_length_935_cov_380.679455",89.91,446,37,8,1,442,493,52,1.07e-162,568
"172","ASV242","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"173","ASV242","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"174","ASV244","NODE_20_length_935_cov_380.679455",80.132,302,58,2,122,422,352,52,2.55e-59,224
"175","ASV246","NODE_20_length_935_cov_380.679455",79.661,295,58,2,129,422,345,52,1.98e-55,211
"176","ASV246","NODE_32_length_255_cov_157.070312",85.333,75,11,0,348,422,2,76,2.1e-15,78.7
"177","ASV246","NODE_19_length_1017_cov_348.064045",85.333,75,11,0,348,422,2,76,2.1e-15,78.7
"178","ASV248","NODE_20_length_935_cov_380.679455",92.152,446,27,8,1,442,493,52,2.26e-179,623
"179","ASV248","NODE_32_length_255_cov_157.070312",96.053,76,3,0,367,442,1,76,2.79e-29,124
"180","ASV248","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,367,442,1,76,2.79e-29,124
"181","ASV249","NODE_20_length_935_cov_380.679455",90.562,445,36,6,1,442,493,52,1.07e-167,584
"182","ASV249","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"183","ASV249","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"184","ASV258","NODE_20_length_935_cov_380.679455",77.652,443,79,13,1,424,493,52,1.18e-67,252
"185","ASV259","NODE_20_length_935_cov_380.679455",91.629,442,37,0,1,442,493,52,4.89e-176,612
"186","ASV259","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"187","ASV259","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"188","ASV261","NODE_20_length_935_cov_380.679455",81.017,295,54,2,129,422,345,52,4.24e-62,233
"189","ASV265","NODE_20_length_935_cov_380.679455",79.264,299,52,9,129,422,345,52,4.3e-52,200
"190","ASV266","NODE_20_length_935_cov_380.679455",78.076,447,82,16,1,436,493,52,1.2e-72,268
"191","ASV268","NODE_20_length_935_cov_380.679455",91.667,444,33,3,1,442,493,52,4.89e-176,612
"192","ASV268","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"193","ASV268","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"194","ASV269","NODE_20_length_935_cov_380.679455",82.034,295,51,2,129,422,345,52,4.21e-67,250
"195","ASV270","NODE_20_length_935_cov_380.679455",87.64,445,49,4,1,442,493,52,5.1e-146,512
"196","ASV280","NODE_20_length_935_cov_380.679455",87.64,445,49,3,1,442,493,52,5.1e-146,512
"197","ASV281","NODE_20_length_935_cov_380.679455",80.339,295,56,2,129,422,345,52,9.17e-59,222
"198","ASV282","NODE_20_length_935_cov_380.679455",79.385,325,57,9,103,422,371,52,3.3e-58,220
"199","ASV284","NODE_20_length_935_cov_380.679455",86.966,445,52,4,1,442,493,52,5.14e-141,496
"200","ASV285","NODE_20_length_935_cov_380.679455",90.519,443,40,2,1,442,493,52,1.07e-167,584
"201","ASV285","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"202","ASV285","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"203","ASV286","NODE_20_length_935_cov_380.679455",91.928,446,28,8,1,442,493,52,1.05e-177,617
"204","ASV286","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"205","ASV286","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"206","ASV288","NODE_20_length_935_cov_380.679455",91.855,442,36,0,1,442,493,52,1.05e-177,617
"207","ASV288","NODE_32_length_255_cov_157.070312",96.053,76,3,0,367,442,1,76,2.79e-29,124
"208","ASV288","NODE_19_length_1017_cov_348.064045",96.053,76,3,0,367,442,1,76,2.79e-29,124
"209","ASV291","NODE_20_length_935_cov_380.679455",85.312,320,43,4,103,420,369,52,1.88e-90,327
"210","ASV292","NODE_20_length_935_cov_380.679455",90.807,446,33,8,1,442,493,52,2.29e-169,590
"211","ASV292","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"212","ASV292","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"213","ASV293","NODE_20_length_935_cov_380.679455",80.135,297,53,6,129,422,345,52,4.27e-57,217
"214","ASV296","NODE_20_length_935_cov_380.679455",92.308,442,34,0,1,442,493,52,0,628
"215","ASV296","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"216","ASV296","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"217","ASV298","NODE_20_length_935_cov_380.679455",80.678,295,55,2,129,422,345,52,1.97e-60,228
"218","ASV298","NODE_32_length_255_cov_157.070312",86.667,75,10,0,348,422,2,76,4.51e-17,84.2
"219","ASV298","NODE_19_length_1017_cov_348.064045",86.667,75,10,0,348,422,2,76,4.51e-17,84.2
"220","ASV302","NODE_20_length_935_cov_380.679455",86.712,444,55,4,1,442,493,52,2.39e-139,490
"221","ASV304","NODE_20_length_935_cov_380.679455",92.534,442,33,0,1,442,493,52,0,634
"222","ASV304","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"223","ASV304","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"224","ASV308","NODE_20_length_935_cov_380.679455",94.118,442,26,0,1,442,493,52,0,673
"225","ASV308","NODE_32_length_255_cov_157.070312",97.368,76,2,0,367,442,1,76,6e-31,130
"226","ASV308","NODE_19_length_1017_cov_348.064045",97.368,76,2,0,367,442,1,76,6e-31,130
"227","ASV311","NODE_20_length_935_cov_380.679455",81.356,295,53,2,129,422,345,52,9.1e-64,239
"228","ASV312","NODE_20_length_935_cov_380.679455",92.986,442,31,0,1,442,493,52,0,645
"229","ASV312","NODE_32_length_255_cov_157.070312",94.737,76,4,0,367,442,1,76,1.3e-27,119
"230","ASV312","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,367,442,1,76,1.3e-27,119
"231","ASV313","NODE_20_length_935_cov_380.679455",91.874,443,35,1,1,443,493,52,1.05e-177,617
"232","ASV313","NODE_32_length_255_cov_157.070312",94.737,76,4,0,368,443,1,76,1.3e-27,119
"233","ASV313","NODE_19_length_1017_cov_348.064045",94.737,76,4,0,368,443,1,76,1.3e-27,119
"234","ASV314","NODE_20_length_935_cov_380.679455",79.63,324,58,7,103,422,371,52,7.09e-60,226
"235","ASV315","NODE_20_length_935_cov_380.679455",91.196,443,37,2,1,442,493,52,1.06e-172,601
"236","ASV315","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"237","ASV315","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"238","ASV319","NODE_20_length_935_cov_380.679455",80.743,296,53,4,129,422,345,52,1.97e-60,228
"239","ASV320","NODE_20_length_935_cov_380.679455",81.481,297,50,4,129,423,345,52,9.13e-64,239
"240","ASV320","NODE_32_length_255_cov_157.070312",92.105,76,6,0,348,423,1,76,2.69e-24,108
"241","ASV320","NODE_19_length_1017_cov_348.064045",92.105,76,6,0,348,423,1,76,2.69e-24,108
"242","ASV323","NODE_20_length_935_cov_380.679455",80.339,295,56,2,129,422,345,52,9.17e-59,222
"243","ASV324","NODE_20_length_935_cov_380.679455",78.947,323,62,6,103,422,371,52,1.53e-56,215
"244","ASV325","NODE_20_length_935_cov_380.679455",85.382,301,42,2,118,417,351,52,1.88e-85,311
"245","ASV326","NODE_20_length_935_cov_380.679455",81.818,297,49,4,133,427,345,52,1.98e-65,244
"246","ASV326","NODE_32_length_255_cov_157.070312",90.667,75,7,0,353,427,2,76,4.54e-22,100
"247","ASV326","NODE_19_length_1017_cov_348.064045",90.667,75,7,0,353,427,2,76,4.54e-22,100
"248","ASV327","NODE_20_length_935_cov_380.679455",90.293,443,41,2,1,442,493,52,4.96e-166,579
"249","ASV327","NODE_32_length_255_cov_157.070312",97.368,76,2,0,367,442,1,76,6e-31,130
"250","ASV327","NODE_19_length_1017_cov_348.064045",97.368,76,2,0,367,442,1,76,6e-31,130
"251","ASV331","NODE_20_length_935_cov_380.679455",78.747,447,78,11,1,435,493,52,4.28e-77,283
"252","ASV334","NODE_20_length_935_cov_380.679455",82.373,295,50,2,129,422,345,52,9.04e-69,255
"253","ASV336","NODE_20_length_935_cov_380.679455",81.145,297,50,5,131,424,345,52,4.26e-62,233
"254","ASV339","NODE_20_length_935_cov_380.679455",80.952,294,56,0,129,422,345,52,4.24e-62,233
"255","ASV345","NODE_20_length_935_cov_380.679455",79.932,294,59,0,129,422,345,52,4.27e-57,217
"256","ASV347","NODE_20_length_935_cov_380.679455",92.76,442,32,0,1,442,493,52,0,640
"257","ASV347","NODE_32_length_255_cov_157.070312",93.421,76,5,0,367,442,1,76,6.04e-26,113
"258","ASV347","NODE_19_length_1017_cov_348.064045",93.421,76,5,0,367,442,1,76,6.04e-26,113
"259","ASV348","NODE_20_length_935_cov_380.679455",80.678,295,55,2,129,422,345,52,1.97e-60,228
"260","ASV350","NODE_20_length_935_cov_380.679455",78.395,324,62,8,103,422,371,52,3.32e-53,204
"261","ASV353","NODE_20_length_935_cov_380.679455",77.506,449,87,13,1,442,493,52,2.64e-69,257
"262","ASV354","NODE_20_length_935_cov_380.679455",91.236,445,33,6,1,442,493,52,1.06e-172,601
